FFTBin#,Frequency (Hz),Ch0 Mean (db),Ch0 Std Dev(db),Ch1 Mean (db),Ch1 Std Dev(db)
0,0.0000,15.7656,7.0347,15.9466,6.8808
1,2.6917,19.7974,4.1511,19.8984,4.0574
2,5.3833,23.8595,4.3284,23.8119,4.5029
3,8.0750,23.3206,4.2730,23.2839,4.3205
4,10.7666,23.5624,4.1227,23.5518,4.2207
5,13.4583,23.0967,4.4144,23.1981,4.4215
6,16.1499,23.8194,3.3451,23.9360,3.3554
7,18.8416,22.4717,4.5186,22.5754,4.4436
8,21.5332,20.9083,2.6268,20.6729,2.6291
9,24.2249,18.7938,4.1466,18.8953,4.1242
10,26.9165,19.4861,3.8919,19.5965,3.9803
11,29.6082,20.4327,5.0465,20.5003,4.9509
12,32.2998,18.3266,5.3298,18.7846,5.3236
13,34.9915,15.9159,3.3960,15.6757,3.4864
14,37.6831,14.9765,5.5431,15.1201,5.3888
15,40.3748,14.1380,6.5803,14.3410,6.3821
16,43.0664,14.5662,4.5801,14.4773,4.6064
17,45.7581,12.7591,5.2424,12.6174,5.3279
18,48.4497,11.9216,6.2754,11.9627,6.0404
19,51.1414,17.4505,3.6450,17.4390,3.6602
20,53.8330,16.5864,3.1960,16.4463,3.2914
21,56.5247,12.7291,6.0316,12.7108,5.8006
22,59.2163,10.0647,4.9724,9.7427,5.3444
23,61.9080,9.4513,5.2293,9.8916,5.1981
24,64.5996,9.6385,5.2596,9.7383,4.5570
25,67.2913,7.9431,5.7116,8.0680,5.6328
26,69.9829,10.0321,5.1144,10.2571,4.9510
27,72.6746,11.3455,4.4369,11.3469,4.5021
28,75.3662,11.8563,4.9888,11.8532,5.1341
29,78.0579,12.0321,4.2073,12.0497,4.2920
30,80.7495,9.7549,4.6305,9.8151,4.7219
31,83.4412,9.4999,5.5256,9.4829,5.2234
32,86.1328,8.6442,5.6804,8.5188,6.2890
33,88.8245,9.3209,5.6942,9.3063,5.9556
34,91.5161,5.9292,5.3382,6.3200,4.9897
35,94.2078,6.2516,4.6041,6.5145,4.5297
36,96.8994,5.4435,5.4110,5.2374,5.7512
37,99.5911,8.1817,4.7491,8.0039,4.7746
38,102.2827,7.6417,5.3923,7.6732,5.1730
39,104.9744,9.7804,3.6553,9.7322,3.5862
40,107.6660,8.2703,4.4447,8.1227,4.5553
41,110.3577,9.0598,4.1385,8.9986,4.4972
42,113.0493,4.8946,5.3264,4.5288,4.8575
43,115.7410,4.0790,3.4042,3.6265,3.6889
44,118.4326,3.0849,5.3318,3.0891,5.4526
45,121.1243,1.4315,3.9078,1.7490,3.7465
46,123.8159,0.3830,4.7740,0.6942,4.9772
47,126.5076,0.5283,5.1518,0.9245,5.2059
48,129.1992,3.5876,4.1292,3.3800,4.4315
49,131.8909,1.5393,4.7839,1.5902,4.6397
50,134.5825,0.4007,5.7781,0.5725,5.3242
51,137.2742,1.3957,4.3588,1.7263,4.4421
52,139.9658,0.5290,5.3490,0.6062,5.2109
53,142.6575,1.3558,5.1558,1.3449,5.1054
54,145.3491,0.2179,6.3068,0.6908,6.2365
55,148.0408,2.8425,3.3165,2.8057,3.5461
56,150.7324,3.0584,4.2599,3.1191,5.1485
57,153.4241,-0.4198,4.5230,-0.2998,4.3772
58,156.1157,-0.6553,4.6766,-1.0519,4.8431
59,158.8074,-1.1423,4.4217,-0.7561,4.5639
60,161.4990,0.8624,4.0112,0.7315,3.7838
61,164.1907,1.6380,2.6615,1.4612,2.8197
